Split,Sketches,Images,Method,Index,Rerank,mAP,Recall@100,P@100,Latency/query_ms,Memory_MB,nlist,nprobe,pq_m,pq_bits,ef_search,hnsw_m
val10,5526,6840,Ret-Flat,Flat,No,0.7470113865676469,0.7996104397719918,0.54847629388346,0.4484830800021877,20.03910541534424,128,16,16,8,64,32
val10,5526,6840,Ret-IVF,IVF,No,0.7456456128891135,0.7995917675593752,0.5484907709011944,0.036660369178546516,20.46735668182373,128,16,16,8,64,32
val10,5526,6840,Ret-HNSW,HNSW,No,0.7373952974865662,0.7934048574670942,0.5441784292435758,0.023207455668551223,21.811647415161133,128,16,16,8,64,32
val10,5526,6840,Ret-PQ,PQ,No,0.7888464236417395,0.8129138920180025,0.5578537821208831,0.05394525876032122,0.8544521331787109,128,16,16,8,64,32
val10,5526,6840,Ret-IVF-PQ,IVF-PQ,No,0.7785366040705829,0.8214282421093196,0.56271444082519,0.0334904994562786,1.2827033996582031,128,16,16,8,64,32
zeroshot1,15229,17101,Ret-Flat,Flat,No,0.7286662257255938,0.11962132795502134,0.8044165736423927,1.1845118326828898,50.10062885284424,128,16,16,8,64,32
zeroshot1,15229,17101,Ret-IVF,IVF,No,0.7160603107948844,0.12042728263524155,0.8093518944119772,0.1129339089763537,50.60716533660889,128,16,16,8,64,32
zeroshot1,15229,17101,Ret-HNSW,HNSW,No,0.4935426042399964,0.12023005789389679,0.807708319653293,0.07286357608185876,54.53991508483887,128,16,16,8,64,32
zeroshot1,15229,17101,Ret-PQ,PQ,No,0.793145507717081,0.1250407450611082,0.8401431479414275,0.1355047869205013,1.0110225677490234,128,16,16,8,64,32
zeroshot1,15229,17101,Ret-IVF-PQ,IVF-PQ,No,0.7320545334128853,0.12208197290483325,0.8193111826121215,0.05711551643876223,1.5175590515136719,128,16,16,8,64,32
zeroshot0,12694,12553,Ret-Flat,Flat,No,0.7303334547287907,0.1458387037669791,0.8074680951630692,0.911646092650091,36.77641010284424,128,16,16,8,64,32
zeroshot0,12694,12553,Ret-IVF,IVF,No,0.7352932750018821,0.1469485557202131,0.8133212541358121,0.08109824326445765,37.24824810028076,128,16,16,8,64,32
zeroshot0,12694,12553,Ret-HNSW,HNSW,No,0.5351480116179536,0.14731784979278567,0.8153340160705844,0.05387232551368504,40.03315544128418,128,16,16,8,64,32
zeroshot0,12694,12553,Ret-PQ,PQ,No,0.7922403239034247,0.15199049365782064,0.8380132345990233,0.1021712226125529,0.9416255950927734,128,16,16,8,64,32
zeroshot0,12694,12553,Ret-IVF-PQ,IVF-PQ,No,0.764825413313191,0.15055980135291466,0.8320671183236173,0.04220679847689967,1.4134635925292969,128,16,16,8,64,32
